"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14214","login_jdd","webkit","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","3226","login valid","chromium","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","10531","login_jdd","chromium","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","4566","login invalid","webkit","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","5984","login invalid","firefox","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","5871","login valid","firefox","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","3708","login valid","webkit","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","5826","Add to cart","chromium","2026-01-22","passed","2026-01-22","","product.spec.ts","",""
"","12286","Add to cart","firefox","2026-01-22","passed","2026-01-22","","product.spec.ts","",""
"","4996","cartBtn pour naviguer aprés ajout","webkit","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","5336","Ouvrir la page de sauce demo","webkit","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","2847","login invalid","webkit","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","1382","cartBtn fonctionne quand le badge est présent pour vérifier","chromium","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","10493","login invalid","firefox","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","4457","cartBtn fonctionne quand le badge est présent pour vérifier","firefox","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","1552","cartBtn pour naviguer aprés ajout","chromium","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","22589","login_jdd","firefox","2026-01-21","passed","2026-01-21","","login.jdd.spec.ts","",""
"","5328","login valid","firefox","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","6761","Ouvrir la page de sauce demo","chromium","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","6475","Add to cart","webkit","2026-01-22","passed","2026-01-22","","product.spec.ts","",""
"","6960","login invalid","chromium","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","7523","cartBtn fonctionne quand le badge est présent pour vérifier","webkit","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","3165","login invalid","chromium","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","3280","login valid","chromium","2026-01-21","passed","2026-01-21","","login.spec.ts","",""
"","7702","Ouvrir la page de sauce demo","firefox","2026-01-21","passed","2026-01-21","","firsttest.spec.ts","",""
"","5130","cartBtn pour naviguer aprés ajout","firefox","2026-01-21","passed","2026-01-21","","productpom.spec.ts","",""
"","4161","login valid","webkit","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
